Text Messages,Eye Color,R or L Hand,Hair Color,Siblings,Gender,Smoke?,Cigarettes/Week,Year in School,iPod Songs,Height,Miles to Campus,On or Off Campus,Movie Genre,Mac or PC,Exercise/Week,Athletics?,Music Performance?,Music Genre,Text while Driving?,Texting Ban,Work?,Drink Alcohol?,Age,Alcoholic Beverage/Night,Piercings?,Tattoos?,Car on Campus?,Time on Facebook,Eating Out/Week
200,Blue,Left,Blond,1,Female,No,0,Freshman,2349,68,140,On campus,Horror,PC,4,No,No,Country,Yes,Yes,No,Yes,18,7,Yes,No,No,10,15
20,Green,Right,Blond,1,Female,No,0,Freshman,700,65,120,On campus,Horror,PC,6,No,No,Rap,No,Yes,Yes,Yes,18,3,Yes,Yes,Yes,1,15
0,Brown,Right,Brown,0,Male,Yes,21,Senior,2000,69,3,Off campus,Comedy,Mac,1,No,No,Other,No,Yes,No,Yes,25,6,Yes,Yes,Yes,1,50
.,Blue,Right,Brown,1,Male,No,0,,800,69,2,On campus,Comedy,PC,4,No,No,Rock,No,Yes,No,No,18,0,No,No,No,1,10
50,Blue,Right,Brown,1,Female,Yes,80,Junior,0,63,12,Off campus,Comedy,PC,1,No,No,Country,Yes,Yes,Yes,Yes,22,5,Yes,Yes,Yes,4,25
70,Brown,Right,Black,2,Female,No,0,Senior,.,63,0.25,Off campus,Drama,PC,7,No,No,Rock,No,Yes,Yes,Yes,22,4,Yes,Yes,Yes,1,35
50,Green,Left,Blond,2,Female,No,0,Junior,500,66,192,Off campus,Romance,PC,3,No,No,Other,No,Yes,Yes,No,20,0,Yes,No,No,3,0
100,Blue,Right,Blond,3,Female,No,0,Junior,5000,64,50,Off campus,Comedy,PC,4,No,No,Country,Yes,Yes,Yes,Yes,23,6,Yes,Yes,Yes,1,20
50,Blue,Right,Blond,1,Female,Yes,40,Junior,259,68,66,Off campus,Comedy,PC,2,No,No,Country,Yes,Yes,No,Yes,22,4,Yes,Yes,No,2,10
100,Brown,Right,Brown,0,Male,No,0,Sophomore,15000,72,50,On campus,Comedy,Mac,5,No,No,Rock,Yes,Yes,Yes,No,24,0,Yes,Yes,Yes,1.5,15
20,Green,Right,Brown,2,Female,No,0,Freshman,0,61,150,On campus,Comedy,Mac,3,No,No,Country,Yes,No,Yes,Yes,18,5,Yes,Yes,Yes,2,10
80,Green,Right,Brown,2,Female,No,0,Senior,1500,65,120,Off campus,Comedy,Mac,5,No,No,Other,Yes,Yes,No,Yes,21,6,Yes,Yes,Yes,1,10
30,Other,Left,Other,1,Female,No,0,Freshman,1000,64,176.32,On campus,Drama,Mac,2,No,Yes,Other,No,Yes,No,Yes,18,2,Yes,No,No,1,7
120,Blue,Right,Brown,2,Female,No,0,Freshman,1463,67,75,On campus,Horror,PC,6,No,No,Rap,Yes,Yes,No,No,18,0,Yes,No,Yes,2,0
50,Blue,Right-handed,Brown,6,Female,No,0,Sophomore,600,68,180,Off campus,Comedy,PC,2,No,No,Country,No,Yes,Yes,No,20,0,Yes,No,Yes,0.5,0
200,Brown,Right-handed,Brown,2,Male,No,0,Freshman,968,54,50,On campus,Drama,Mac,2,No,No,Other,Yes,No,No,Yes,18,5,Yes,No,No,2,10
.,Blue,Right-handed,Blond,2,Female,No,0,Junior,0,64,20,Off campus,Horror,Mac,1,No,No,Country,No,Yes,Yes,Yes,20,3,Yes,Yes,Yes,5,50
.,Other,Right-handed,Brown,1,Female,No,0,Freshman,1258,63,144,On campus,Comedy,Mac,3,No,No,Country,Yes,No,Yes,Yes,21,3,No,No,Yes,3,35
100,Brown,Left-handed,Brown,1,Female,No,0,Freshman,380,66,45,Off campus,Romance,Mac,2,No,No,Other,Yes,Yes,Yes,No,18,0,Yes,No,Yes,2,5
100,Other,Right-handed,Brown,2,Female,No,0,Freshman,691,66,160,On campus,Comedy,Mac,5,No,No,Country,Yes,Yes,No,Yes,19,2,No,No,No,2,10
20,Other,Right-handed,Brown,2,Female,No,0,Freshman,691,64,130,On campus,Comedy,Mac,5,No,No,Country,Yes,Yes,No,Yes,19,2,No,No,No,2,10
8,Brown,Left-handed,Brown,4,Female,No,0,Sophomore,1552,68,70,On campus,Comedy,Mac,1,Yes,No,Country,No,Yes,No,Yes,20,5,Yes,No,No,0.5,10
.,Brown,Left-handed,Blond,2,Female,No,0,Freshman,1600,74,140,On campus,Action,Mac,3,No,No,Rap,Yes,Yes,Yes,Yes,19,1,Yes,Yes,Yes,3,25
100,Other,Left-handed,Brown,4,Male,No,0,Senior,2500,67,45,Off campus,Comedy,Mac,3,No,No,Rap,Yes,Yes,No,Yes,25,6,No,No,Yes,1,20
.,Other,Right-handed,Blond,1,Male,No,0,Junior,50,62,250,Off campus,Comedy,Mac,5,No,No,Rap,No,Yes,No,No,20,0,No,Yes,Yes,1,30
100,Blue,Left-handed,Blond,2,Female,No,0,Sophomore,500,66,90,On campus,Comedy,Mac,3,No,No,Other,Yes,No,No,Yes,19,3,Yes,No,Yes,1,5
.,Green,Right-handed,Blond,1,Female,No,0,Sophomore,700,.,250,On campus,Romance,Mac,2,,No,Other,No,Yes,Yes,No,19,0,Yes,No,No,1.5,12
.,Other,Right-handed,Brown,1,Female,No,0,Sophomore,250,61,50,On campus,Comedy,PC,3,No,No,Country,No,Yes,No,Yes,19,5,Yes,No,No,3,0
100,Blue,Left-handed,Blond,2,Female,No,0,Sophomore,2000,66,0.5,Off campus,Comedy,Mac,3,No,No,Other,No,Yes,Yes,No,20,0,Yes,No,Yes,1,15
100,Blue,Left-handed,Brown,3,Female,No,0,Junior,0,64,35,Off campus,Comedy,Mac,3,No,No,Country,Yes,Yes,Yes,Yes,21,7,Yes,Yes,Yes,3,25
200,Green,Right-handed,Blond,4,Female,No,0,Freshman,7000,65,172,On campus,Romance,Mac,4,No,No,Country,Yes,No,No,Yes,18,4,Yes,No,No,3,5
100,Blue,Right-handed,Brown,2,Female,No,0,Freshman,0,.,120,On campus,Drama,Mac,3,No,No,Country,Yes,Yes,No,Yes,18,4,Yes,No,Yes,5,20
15,Brown,Right-handed,Brown,2,Female,No,0,Freshman,500,64,220,On campus,Horror,Mac,5,No,No,Country,Yes,Yes,No,No,18,.,Yes,Yes,No,2,6
75,Brown,Right-handed,Brown,1,Female,No,0,Sophomore,312,69,30,On campus,Comedy,Mac,3,No,No,,Yes,Yes,Yes,Yes,20,6,Yes,Yes,Yes,4,10
100,Green,Left,Blond,2,Female,No,0,Junior,30,62,120,Off campus,Action,PC,4,No,No,Country,No,Yes,No,Yes,23,1,Yes,No,Yes,1,10
.,Blue,Left,Blond,1,Female,No,0,Sophomore,28510,64,274,Off campus,Comedy,Mac,2,No,Yes,Other,Yes,No,Yes,Yes,19,1,Yes,No,Yes,3,30
.,Blue,Right,Brown,3,Male,No,0,Sophomore,.,6,200,On campus,Comedy,PC,3,No,No,Country,Yes,Yes,Yes,Yes,19,7,No,Yes,Yes,1,15
500,Other,Right,Brown,1,Female,No,0,Sophomore,1610,63,150,Off campus,Horror,Mac,5,No,Yes,Other,Yes,Yes,Yes,No,19,0,Yes,No,No,3,2
.,Blue,Right,Brown,1,Female,No,0,Freshman,350,62,159,On campus,Comedy,PC,2,No,No,Rock,No,Yes,Yes,No,18,0,No,No,No,3,5
50,Other,Right,Brown,2,Female,No,0,Freshman,.,66,288,On campus,Romance,PC,4,No,Yes,Rock,No,Yes,No,Yes,18,2,Yes,No,Yes,2,30
